year,president,party
1980,Jimmy Carter,Democratic
1981,Ronald Reagan,Republican
1982,Ronald Reagan,Republican
1983,Ronald Reagan,Republican
1984,Ronald Reagan,Republican
1985,Ronald Reagan,Republican
1986,Ronald Reagan,Republican
1987,Ronald Reagan,Republican
1988,Ronald Reagan,Republican
1989,George H. W. Bush,Republican
1990,George H. W. Bush,Republican
1991,George H. W. Bush,Republican
1992,George H. W. Bush,Republican
1993,Bill Clinton,Democratic
1994,Bill Clinton,Democratic
1995,Bill Clinton,Democratic
1996,Bill Clinton,Democratic
1997,Bill Clinton,Democratic
1998,Bill Clinton,Democratic
1999,Bill Clinton,Democratic
2000,Bill Clinton,Democratic
2001,George W. Bush,Republican
2002,George W. Bush,Republican
2003,George W. Bush,Republican
2004,George W. Bush,Republican
2005,George W. Bush,Republican
2006,George W. Bush,Republican
2007,George W. Bush,Republican
2008,George W. Bush,Republican
2009,Barack Obama,Democratic
2010,Barack Obama,Democratic
2011,Barack Obama,Democratic
2012,Barack Obama,Democratic
2013,Barack Obama,Democratic
2014,Barack Obama,Democratic
2015,Barack Obama,Democratic
2016,Barack Obama,Democratic
2017,Donald Trump,Republican
