,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AvgCost,RealGDP
0,1980,0.501,0.507,0.502,0.507,0.504,0.503,0.511,0.507,0.511,0.514,0.519,0.519,0.509,1.160423198
1,1981,0.531,0.5329999999999999,0.5379999999999999,0.519,0.525,0.523,0.521,0.519,0.524,0.521,0.527,0.521,0.525,1.095582247
2,1982,0.537,0.534,0.526,0.526,0.529,0.525,0.534,0.534,0.536,0.534,0.534,0.537,0.532,1.045335482
3,1983,0.541,0.544,0.544,0.5379999999999999,0.542,0.542,0.544,0.539,0.536,0.535,0.547,0.547,0.542,1.023424108
4,1984,0.5429999999999999,0.541,0.542,0.536,0.541,0.542,0.541,0.5429999999999999,0.539,0.54,0.5429999999999999,0.544,0.541,0.987746619
5,1985,0.551,0.544,0.544,0.544,0.542,0.546,0.556,0.5529999999999999,0.561,0.5660000000000001,0.564,0.568,0.5529999999999999,0.9783426759999999
6,1986,0.5660000000000001,0.563,0.56,0.561,0.562,0.569,0.564,0.57,0.5660000000000001,0.565,0.564,0.5660000000000001,0.565,0.978783236
7,1987,0.544,0.539,0.541,0.542,0.54,0.5329999999999999,0.544,0.546,0.551,0.5589999999999999,0.5589999999999999,0.5710000000000001,0.547,0.92527587
8,1988,0.586,0.586,0.5870000000000001,0.595,0.598,0.601,0.602,0.619,0.636,0.642,0.645,0.657,0.613,1.000809592
9,1989,0.653,0.652,0.654,0.655,0.655,0.664,0.6709999999999999,0.674,0.6709999999999999,0.674,0.6759999999999999,0.688,0.6659999999999999,1.046275488
10,1990,0.6890000000000001,0.701,0.68,0.6859999999999999,0.6779999999999999,0.687,0.685,0.713,0.7,0.706,0.71,0.7,0.695,1.052913625
11,1991,0.705,0.701,0.7020000000000001,0.701,0.705,0.705,0.7,0.7140000000000001,0.7170000000000001,0.72,0.731,0.7170000000000001,0.71,1.041368885
12,1992,0.726,0.73,0.747,0.746,0.752,0.757,0.7709999999999999,0.7759999999999999,0.7559999999999999,0.752,0.747,0.738,0.75,1.0755339879999999
13,1993,0.748,0.7509999999999999,0.742,0.7440000000000001,0.752,0.752,0.762,0.745,0.748,0.75,0.7709999999999999,0.76,0.752,1.0536912379999999
14,1994,0.768,0.7559999999999999,0.755,0.765,0.765,0.7609999999999999,0.759,0.753,0.7759999999999999,0.7559999999999999,0.7659999999999999,0.748,0.7609999999999999,1.0435094759999999
15,1995,0.767,0.767,0.775,0.7759999999999999,0.768,0.7809999999999999,0.789,0.797,0.8079999999999999,0.809,0.821,0.8370000000000001,0.7909999999999999,1.063288027
16,1996,0.86,0.858,0.852,0.865,0.8690000000000001,0.8859999999999999,0.889,0.915,0.8859999999999999,0.873,0.88,0.875,0.8759999999999999,1.1556311479999999
17,1997,0.862,0.858,0.855,0.855,0.8540000000000001,0.8740000000000001,0.872,0.872,0.885,0.899,0.897,0.884,0.872,1.131752141
