,year,Senate,HOR,value,president,party,All_beverages_in_Gallons
0,1980,Democrats,Democrats,10.23,Jimmy Carter,Democratic,2.75
1,1980,Democrats,Democrats,10.31,Jimmy Carter,Democratic,2.75
2,1980,Democrats,Democrats,10.34,Jimmy Carter,Democratic,2.75
3,1980,Democrats,Democrats,10.35,Jimmy Carter,Democratic,2.75
4,1980,Democrats,Democrats,10.28,Jimmy Carter,Democratic,2.75
5,1980,Democrats,Democrats,10.29,Jimmy Carter,Democratic,2.75
6,1980,Democrats,Democrats,10.26,Jimmy Carter,Democratic,2.75
7,1980,Democrats,Democrats,10.38,Jimmy Carter,Democratic,2.75
8,1980,Democrats,Democrats,10.4,Jimmy Carter,Democratic,2.75
9,1980,Democrats,Democrats,10.4,Jimmy Carter,Democratic,2.75
10,1980,Democrats,Democrats,10.41,Jimmy Carter,Democratic,2.75
11,1980,Democrats,Democrats,10.47,Jimmy Carter,Democratic,2.75
12,1980,Democrats,Democrats,10.61,Jimmy Carter,Democratic,2.75
13,1980,Democrats,Democrats,10.77,Jimmy Carter,Democratic,2.75
14,1980,Democrats,Democrats,10.69,Jimmy Carter,Democratic,2.75
15,1980,Democrats,Democrats,10.68,Jimmy Carter,Democratic,2.75
16,1980,Democrats,Democrats,10.87,Jimmy Carter,Democratic,2.75
17,1980,Democrats,Democrats,11,Jimmy Carter,Democratic,2.75
18,1980,Democrats,Democrats,11.03,Jimmy Carter,Democratic,2.75
19,1980,Democrats,Democrats,11.12,Jimmy Carter,Democratic,2.75
20,1980,Democrats,Democrats,11.11,Jimmy Carter,Democratic,2.75
21,1980,Democrats,Democrats,11.09,Jimmy Carter,Democratic,2.75
22,1980,Democrats,Democrats,11.23,Jimmy Carter,Democratic,2.75
23,1980,Democrats,Democrats,11.32,Jimmy Carter,Democratic,2.75
24,1980,Democrats,Democrats,11.64,Jimmy Carter,Democratic,2.75
25,1980,Democrats,Democrats,11.78,Jimmy Carter,Democratic,2.75
26,1980,Democrats,Democrats,11.7,Jimmy Carter,Democratic,2.75
