,year,Senate,HOR,value,president,party,All_beverages_in_Gallons,AvgCost,RealGDP
0,1980,Democrats,Democrats,10.23,Jimmy Carter,Democratic,2.75,0.509,1.160423198
1,1980,Democrats,Democrats,10.31,Jimmy Carter,Democratic,2.75,0.509,1.160423198
2,1980,Democrats,Democrats,10.34,Jimmy Carter,Democratic,2.75,0.509,1.160423198
3,1980,Democrats,Democrats,10.35,Jimmy Carter,Democratic,2.75,0.509,1.160423198
4,1980,Democrats,Democrats,10.28,Jimmy Carter,Democratic,2.75,0.509,1.160423198
5,1980,Democrats,Democrats,10.29,Jimmy Carter,Democratic,2.75,0.509,1.160423198
6,1980,Democrats,Democrats,10.26,Jimmy Carter,Democratic,2.75,0.509,1.160423198
7,1980,Democrats,Democrats,10.38,Jimmy Carter,Democratic,2.75,0.509,1.160423198
8,1980,Democrats,Democrats,10.4,Jimmy Carter,Democratic,2.75,0.509,1.160423198
9,1980,Democrats,Democrats,10.4,Jimmy Carter,Democratic,2.75,0.509,1.160423198
10,1980,Democrats,Democrats,10.41,Jimmy Carter,Democratic,2.75,0.509,1.160423198
11,1980,Democrats,Democrats,10.47,Jimmy Carter,Democratic,2.75,0.509,1.160423198
12,1980,Democrats,Democrats,10.61,Jimmy Carter,Democratic,2.75,0.509,1.160423198
13,1980,Democrats,Democrats,10.77,Jimmy Carter,Democratic,2.75,0.509,1.160423198
14,1980,Democrats,Democrats,10.69,Jimmy Carter,Democratic,2.75,0.509,1.160423198
15,1980,Democrats,Democrats,10.68,Jimmy Carter,Democratic,2.75,0.509,1.160423198
16,1980,Democrats,Democrats,10.87,Jimmy Carter,Democratic,2.75,0.509,1.160423198
17,1980,Democrats,Democrats,11,Jimmy Carter,Democratic,2.75,0.509,1.160423198
18,1980,Democrats,Democrats,11.03,Jimmy Carter,Democratic,2.75,0.509,1.160423198
19,1980,Democrats,Democrats,11.12,Jimmy Carter,Democratic,2.75,0.509,1.160423198
20,1980,Democrats,Democrats,11.11,Jimmy Carter,Democratic,2.75,0.509,1.160423198
21,1980,Democrats,Democrats,11.09,Jimmy Carter,Democratic,2.75,0.509,1.160423198
22,1980,Democrats,Democrats,11.23,Jimmy Carter,Democratic,2.75,0.509,1.160423198
23,1980,Democrats,Democrats,11.32,Jimmy Carter,Democratic,2.75,0.509,1.160423198
24,1980,Democrats,Democrats,11.64,Jimmy Carter,Democratic,2.75,0.509,1.160423198
25,1980,Democrats,Democrats,11.78,Jimmy Carter,Democratic,2.75,0.509,1.160423198
26,1980,Democrats,Democrats,11.7,Jimmy Carter,Democratic,2.75,0.509,1.160423198
27,1980,Democrats,Democrats,11.72,Jimmy Carter,Democratic,2.75,0.509,1.160423198
28,1980,Democrats,Democrats,11.94,Jimmy Carter,Democratic,2.75,0.509,1.160423198
29,1980,Democrats,Democrats,11.82,Jimmy Carter,Democratic,2.75,0.509,1.160423198
30,1980,Democrats,Democrats,11.9,Jimmy Carter,Democratic,2.75,0.509,1.160423198
31,1980,Democrats,Democrats,12.11,Jimmy Carter,Democratic,2.75,0.509,1.160423198
32,1980,Democrats,Democrats,12.61,Jimmy Carter,Democratic,2.75,0.509,1.160423198
33,1980,Democrats,Democrats,12.56,Jimmy Carter,Democratic,2.75,0.509,1.160423198
34,1980,Democrats,Democrats,12.77,Jimmy Carter,Democratic,2.75,0.509,1.160423198
35,1980,Democrats,Democrats,12.59,Jimmy Carter,Democratic,2.75,0.509,1.160423198
36,1980,Democrats,Democrats,12.69,Jimmy Carter,Democratic,2.75,0.509,1.160423198
37,1980,Democrats,Democrats,12.85,Jimmy Carter,Democratic,2.75,0.509,1.160423198
38,1980,Democrats,Democrats,12.76,Jimmy Carter,Democratic,2.75,0.509,1.160423198
39,1980,Democrats,Democrats,12.29,Jimmy Carter,Democratic,2.75,0.509,1.160423198
40,1980,Democrats,Democrats,12.25,Jimmy Carter,Democratic,2.75,0.509,1.160423198
41,1980,Democrats,Democrats,12.32,Jimmy Carter,Democratic,2.75,0.509,1.160423198
