HOR,year
Democrats,1980
Democrats,1981
Democrats,1982
Democrats,1983
Democrats,1984
Democrats,1985
Democrats,1986
Democrats,1987
Democrats,1988
Democrats,1989
Democrats,1990
Democrats,1991
Democrats,1992
Democrats,1993
Democrats,1994
Republicans,1995
Republicans,1996
Republicans,1997
Republicans,1998
Republicans,1999
Republicans,2000
Republicans,2001
Republicans,2002
Republicans,2003
Republicans,2004
Republicans,2005
Republicans,2006
Democrats,2007
Democrats,2008
Democrats,2009
Democrats,2010
Republicans,2011
Republicans,2012
Republicans,2013
Republicans,2014
Republicans,2015
Republicans,2016
Republicans,2017
