Senate,year
Democrats,1965
Democrats,1966
Democrats,1967
Democrats,1968
Democrats,1969
Democrats,1970
Democrats,1971
Democrats,1972
Democrats,1973
Democrats,1974
Democrats,1975
Democrats,1976
Democrats,1977
Democrats,1978
Democrats,1979
Democrats,1980
Republicans,1981
Republicans,1982
Republicans,1983
Republicans,1984
Republicans,1985
Republicans,1986
Democrats,1987
Democrats,1988
Democrats,1989
Democrats,1990
Democrats,1991
Democrats,1992
Democrats,1993
Democrats,1994
Republicans,1995
Republicans,1996
Republicans,1997
Republicans,1998
Republicans,1999
Republicans,2000
Democrats,2001
Republicans,2002
Republicans,2003
Republicans,2004
Republicans,2005
Republicans,2006
Democrats,2007
Democrats,2008
Democrats,2009
Democrats,2010
Democrats,2011
Democrats,2012
Democrats,2013
Democrats,2014
Republicans,2015
Republicans,2016
Republicans,2017
