date, value,Year
2/15/77,7.7,1977
2/16/77,7.67,1977
2/17/77,7.67,1977
2/18/77,7.76,1977
2/22/77,7.77,1977
2/23/77,7.81,1977
2/24/77,7.82,1977
2/25/77,7.79,1977
2/28/77,7.8,1977
3/1/77,7.84,1977
3/2/77,7.81,1977
3/3/77,7.79,1977
3/4/77,7.82,1977
3/7/77,7.84,1977
3/8/77,7.84,1977
3/9/77,7.81,1977
3/10/77,7.81,1977
3/11/77,7.8,1977
3/14/77,7.8,1977
3/15/77,7.78,1977
3/16/77,7.79,1977
3/17/77,7.78,1977
3/18/77,7.76,1977
3/21/77,7.74,1977
3/22/77,7.77,1977
3/23/77,7.78,1977
3/24/77,7.78,1977
3/25/77,7.78,1977
3/28/77,7.8,1977
3/29/77,7.8,1977
3/30/77,7.8,1977
3/31/77,7.79,1977
4/1/77,7.78,1977
4/4/77,7.78,1977
4/5/77,7.78,1977
4/6/77,7.78,1977
4/7/77,7.78,1977
4/11/77,7.76,1977
4/12/77,7.76,1977
4/13/77,7.76,1977
4/14/77,7.63,1977
4/15/77,7.65,1977
4/18/77,7.64,1977
4/19/77,7.67,1977
4/20/77,7.69,1977
4/21/77,7.69,1977
4/22/77,7.73,1977
4/25/77,7.76,1977
4/26/77,7.74,1977
4/27/77,7.75,1977
4/28/77,7.76,1977
4/29/77,7.8,1977
5/2/77,7.8,1977
5/3/77,7.79,1977
5/4/77,7.78,1977
5/5/77,7.8,1977
5/6/77,7.86,1977
5/9/77,7.86,1977
5/10/77,7.86,1977
5/11/77,7.86,1977
5/12/77,7.86,1977
5/13/77,7.8,1977
5/16/77,7.79,1977
5/17/77,7.77,1977
5/18/77,7.77,1977
5/19/77,7.81,1977
5/20/77,7.81,1977
5/23/77,7.8,1977
5/24/77,7.76,1977
5/25/77,7.74,1977
5/26/77,7.76,1977
5/27/77,7.74,1977
5/31/77,7.74,1977
6/1/77,7.75,1977
6/2/77,7.74,1977
6/3/77,7.72,1977
6/6/77,7.72,1977
6/7/77,7.67,1977
6/8/77,7.67,1977
6/9/77,7.67,1977
6/10/77,7.66,1977
6/13/77,7.62,1977
6/14/77,7.59,1977
6/15/77,7.6,1977
6/16/77,7.62,1977
6/17/77,7.62,1977
6/20/77,7.63,1977
6/21/77,7.62,1977
6/22/77,7.61,1977
